Period,Value
Jan-92,164095
Feb-92,164213
Mar-92,163721
Apr-92,164709
May-92,165612
Jun-92,166077
Jul-92,167257
Aug-92,167800
Sep-92,169400
Oct-92,170625
Nov-92,171003
Dec-92,173105
Jan-93,175108
Feb-93,173744
Mar-93,172306
Apr-93,176749
May-93,178426
Jun-93,178157
Jul-93,180743
Aug-93,180707
Sep-93,181773
Oct-93,182884
Nov-93,184747
Dec-93,186399
Jan-94,185142
Feb-94,188074
Mar-94,191579
Apr-94,191639
May-94,190929
Jun-94,193130
Jul-94,193743
Aug-94,196163
Sep-94,197765
Oct-94,199571
Nov-94,199731
Dec-94,200702
Jan-95,201573
Feb-95,198399
Mar-95,200247
Apr-95,201032
May-95,202986
Jun-95,205500
Jul-95,204920
Aug-95,206521
Sep-95,207006
Oct-95,206176
Nov-95,208664
Dec-95,210399
Jan-96,208699
Feb-96,212008
Mar-96,213891
Apr-96,214676
May-96,216299
Jun-96,216068
Jul-96,216332
Aug-96,216358
Sep-96,219256
Oct-96,221060
Nov-96,220963
Dec-96,221991
Jan-97,223481
Feb-97,225422
Mar-97,226161
Apr-97,224615
May-97,222929
Jun-97,226057
Jul-97,228703
Aug-97,229309
Sep-97,230312
Oct-97,229836
Nov-97,230440
Dec-97,231181
Jan-98,231587
Feb-98,231684
Mar-98,233083
Apr-98,235986
May-98,237075
Jun-98,238971
Jul-98,237411
Aug-98,236379
Sep-98,238550
Oct-98,242549
Nov-98,244291
Dec-98,246530
Jan-99,246868
Feb-99,249520
Mar-99,250667
Apr-99,252477
May-99,254735
Jun-99,255449
Jul-99,257456
Aug-99,260230
Sep-99,261317
Oct-99,261818
Nov-99,264965
Dec-99,269863
Jan-00,268044
Feb-00,272020
Mar-00,275192
Apr-00,271046
May-00,271394
Jun-00,273422
Jul-00,272630
Aug-00,272918
Sep-00,277548
Oct-00,276927
Nov-00,276029
Dec-00,275791
1-Jan,278834
1-Feb,278773
1-Mar,276450
1-Apr,280808
1-May,281496
1-Jun,280401
1-Jul,279504
1-Aug,281413
1-Sep,276084
1-Oct,294540
1-Nov,287111
1-Dec,283705
2-Jan,283508
2-Feb,285054
2-Mar,284262
2-Apr,288833
2-May,284951
2-Jun,287372
2-Jul,290385
2-Aug,292650
2-Sep,288410
2-Oct,289576
2-Nov,291484
2-Dec,293947
3-Jan,295248
3-Feb,291167
3-Mar,296325
3-Apr,295600
3-May,296410
3-Jun,299626
3-Jul,302747
3-Aug,307809
3-Sep,305933
3-Oct,304809
3-Nov,308527
3-Dec,307407
4-Jan,309254
4-Feb,311393
4-Mar,316912
4-Apr,313512
4-May,318964
4-Jun,314958
4-Jul,318549
4-Aug,318977
4-Sep,324569
4-Oct,326740
4-Nov,327836
4-Dec,331874
5-Jan,328696
5-Feb,333026
5-Mar,333581
5-Apr,336583
5-May,334522
5-Jun,343998
5-Jul,346576
5-Aug,343307
5-Sep,343956
5-Oct,344097
5-Nov,347325
5-Dec,347405
6-Jan,357331
6-Feb,354706
6-Mar,355665
6-Apr,357423
6-May,356704
6-Jun,357879
6-Jul,359006
6-Aug,360691
6-Sep,358961
6-Oct,358462
6-Nov,359266
6-Dec,363730
7-Jan,363616
7-Feb,364006
7-Mar,367158
7-Apr,366187
7-May,370934
7-Jun,368154
7-Jul,369614
7-Aug,371358
7-Sep,372869
7-Oct,375289
7-Nov,378860
7-Dec,374298
8-Jan,375236
8-Feb,371833
8-Mar,372745
8-Apr,372572
8-May,376036
8-Jun,376455
8-Jul,375038
8-Aug,372284
8-Sep,366729
8-Oct,352950
8-Nov,339350
8-Dec,332091
9-Jan,336929
9-Feb,335576
9-Mar,329747
9-Apr,331352
9-May,334256
9-Jun,339883
9-Jul,340517
9-Aug,346668
9-Sep,338507
9-Oct,341654
9-Nov,344375
9-Dec,346072
10-Jan,345889
10-Feb,346724
10-Mar,354119
10-Apr,357354
10-May,354068
10-Jun,353647
10-Jul,354717
10-Aug,356448
10-Sep,359359
10-Oct,363469
10-Nov,367051
10-Dec,369139
11-Jan,371841
11-Feb,375017
11-Mar,378506
11-Apr,380335
11-May,380024
11-Jun,383142
11-Jul,382837
11-Aug,383691
11-Sep,387567
11-Oct,389853
11-Nov,391274
11-Dec,391510
12-Jan,395469
12-Feb,400300
12-Mar,401569
12-Apr,399972
12-May,399180
12-Jun,395595
12-Jul,397407
12-Aug,402211
12-Sep,405357
12-Oct,405437
12-Nov,407308
12-Dec,408665
13-Jan,412115
13-Feb,417013
13-Mar,414024
13-Apr,411770
13-May,414325
13-Jun,415442
13-Jul,418110
13-Aug,417377
13-Sep,417654
13-Oct,419247
13-Nov,420513
13-Dec,422794
14-Jan,419015
14-Feb,424793
14-Mar,429132
14-Apr,433530
14-May,434248
14-Jun,435438
14-Jul,436150
14-Aug,439518
14-Sep,438459
14-Oct,440095
14-Nov,441249
14-Dec,438509
15-Jan,436125
15-Feb,435450
15-Mar,441895
15-Apr,442967
15-May,446114
15-Jun,446572
15-Jul,450143
15-Aug,450168
15-Sep,448090
15-Oct,446905
15-Nov,448738
15-Dec,450598
16-Jan,447376
16-Feb,451898
16-Mar,450462
16-Apr,452238
16-May,453898
16-Jun,458711
16-Jul,457894
16-Aug,458375
16-Sep,461400
16-Oct,462362
16-Nov,462231
16-Dec,467852
17-Jan,473019
17-Feb,472945
17-Mar,472149
